date_of_receipt_of_the_order,delivery_address,confectioner_id,courier_id,customer_id,discount_id,package_id
2016-10-13 05:18:48Z,Beatty  Tunnel,525,179,231,,
2016-11-06 17:08:52Z,Cloth  Alley,630,1544,1623,,
2021-09-20 11:19:46Z,North Vale,843,1282,879,,
2022-06-11 06:36:13Z,Cloth  Road,1026,809,8,,
2019-08-25 13:16:33Z,Marischal  Route,1244,114,317,,
2020-08-15 15:34:43Z,Bond Hill,1401,1290,126,,
2018-09-19 17:16:09Z,Coalecroft  Road,1706,611,1652,,
2016-06-19 07:44:07Z,Fairview Way,189,1145,354,,
2016-12-13 07:06:54Z,Oxford Lane,6,1209,1911,,
2021-02-13 05:16:02Z,Birkenhead   Route,1909,1684,1324,,
2019-06-11 13:11:14Z,Timothy  Alley,1164,250,1500,,
2015-03-11 15:18:57Z,Chatfield  Grove,786,332,610,,
2022-06-27 17:34:21Z,Elystan  Walk,144,1994,175,,
2017-02-23 10:46:22Z,Elizabeth  Avenue,1896,736,1974,,
2022-11-10 06:37:58Z,Gate   Road,327,1207,1839,,
2018-04-23 20:33:50Z,Mariner  Route,130,1987,205,,
2011-01-04 08:25:22Z,Elizabeth  Pass,42,65,1350,,
2022-07-10 00:29:46Z,Blanchard  Tunnel,854,807,1761,,
2018-10-02 22:23:32Z,Camberwell  Hill,1766,866,231,,
2016-09-10 15:46:25Z,Kingly  Street,850,1741,10,,
2017-03-22 13:06:54Z,Lake Boulevard,717,401,1186,,
2015-05-17 19:50:17Z,Udall   Tunnel,946,783,54,,
2019-03-26 12:09:51Z,Blake  Pass,1192,1012,689,,
2021-06-10 12:40:19Z,Apothecary   Vale,545,1742,1597,,
2020-01-15 17:58:04Z,Balham   Drive,1914,940,1166,,
2013-05-09 05:14:32Z,Boleyn  Lane,316,1429,689,,
2020-12-07 15:06:21Z,Kingly  Grove,1943,956,1340,,
2021-10-16 02:28:41Z,Heritage Hill,906,1401,1278,,
2010-06-02 14:19:09Z,Cable    Road,324,676,573,,
2011-03-14 07:33:44Z,Yorkshire  Rue,1619,862,394,,
2019-01-12 09:25:31Z,Sherlock   Pass,659,101,757,,
2011-04-09 12:11:40Z,Cavaye  Tunnel,588,251,161,,
2010-02-24 15:44:04Z,Parkfields Drive,361,1759,281,,
2011-04-24 03:54:49Z,Gathorne   Way,735,1516,583,,
2012-09-29 11:31:36Z,Woodland Crossroad,1306,129,1566,,
2011-03-03 09:14:18Z,Thurloe   Road,1139,1596,1507,,
2015-10-18 14:12:26Z,Gate   Street,1150,457,1792,,
2015-11-14 06:39:35Z,Bletchley   Boulevard,1936,166,1243,,
2017-02-25 09:49:51Z,Fieldstone Vale,408,181,951,,
2021-08-07 18:40:52Z,King William  Alley,1676,1842,272,,
2011-02-05 17:09:18Z,Caedmon  Way,1954,403,1604,,
2011-07-31 11:04:54Z,Collins  Route,835,38,808,,
2021-11-05 13:11:04Z,Belmont Park Tunnel,1498,1365,875,,
2012-08-15 12:58:33Z,Sheraton   Route,391,1767,624,,
2016-01-16 05:20:13Z,Kimberley  Street,671,165,1210,,
2015-02-09 22:26:18Z,Fairfield  Tunnel,1382,1853,706,,
2022-02-13 00:31:53Z,Viscount   Route,338,1551,1276,,
2020-06-25 12:42:40Z,Betton  Grove,130,1905,1547,,
2010-09-09 15:39:58Z,Clissold  Vale,1305,712,1413,,
2022-11-02 20:05:44Z,Blandford  Crossroad,94,526,1738,,
2020-02-14 13:40:58Z,Cavell   Vale,1160,1058,1055,,
2021-07-07 16:15:58Z,Baltic  Avenue,947,1276,504,,
2018-11-24 21:16:22Z,Blenkarne  Street,1307,363,1783,,
2017-01-31 01:40:51Z,Cadogan  Grove,1176,572,774,,
2011-02-08 01:35:32Z,Andrews  Street,1255,1533,1292,,
2015-11-16 22:37:33Z,Ashley Tunnel,1176,725,631,,
2017-08-30 09:18:28Z,Longmoore   Lane,467,71,942,,
2021-01-06 00:04:47Z,Andrews  Drive,262,777,1153,,
2018-05-16 03:32:04Z,Battis   Avenue,1108,404,372,,
2013-05-22 22:46:26Z,Vincent  Tunnel,285,1997,1771,,
2010-11-20 13:42:42Z,Blackwall  Route,1469,1559,1520,,
2017-06-10 15:34:39Z,Bocking   Lane,1322,1887,442,,
2020-01-18 11:38:49Z,Caxton  Vale,1400,1945,131,,
2018-12-12 09:42:47Z,Mariner  Route,163,125,1585,,
2021-01-27 21:49:10Z,Longmoore   Drive,1439,1962,1093,,
2017-09-23 13:31:52Z,Cheney  Boulevard,106,739,966,,
2013-01-30 05:39:34Z,Maple Boulevard,609,93,749,,
2010-08-04 17:00:10Z,Hammersmith  Route,189,1618,43,,
2015-01-23 13:10:39Z,Aylward   Drive,1179,212,752,,
2017-01-05 18:36:21Z,Fawn Tunnel,1844,1688,1666,,
2011-09-15 06:53:29Z,Apsley    Tunnel,1194,1348,418,,
2017-02-03 09:00:08Z,Fairbairn  Drive,653,1327,1539,,
2013-12-28 12:06:41Z,Kinglake  Lane,1922,1530,509,,
2019-10-04 15:01:42Z,Belmore  Pass,1098,1926,1090,,
2011-07-27 20:43:52Z,Lexington Grove,1489,88,1394,,
2014-09-14 09:58:38Z,Howard Alley,1031,1231,569,,
2019-05-27 09:15:58Z,Enford   Alley,78,1692,1991,,
2012-05-19 19:08:16Z,Caroline  Crossroad,855,412,1536,,
2010-07-01 09:28:39Z,Church Drive,438,1199,738,,
2013-06-07 02:37:55Z,Camberwell  Rue,908,1651,1080,,
2013-08-22 03:21:37Z,Armory  Street,899,1123,428,,
2017-03-04 01:47:08Z,Fieldstone Crossroad,631,955,384,,
2020-06-18 01:27:18Z,Sheraton   Lane,1469,1549,1494,,
2014-08-27 05:37:29Z,Chancellor  Walk,598,295,141,,
2015-04-13 09:34:14Z,Meadow Route,1483,1334,1027,,
2017-05-18 02:51:47Z,Under  Pass,913,1298,1534,,
2011-01-14 22:21:25Z,Queen Alley,973,183,641,,
2017-08-03 01:15:01Z,Spruce Alley,1530,1818,134,,
2017-12-16 12:49:03Z,Walnut Alley,840,335,1324,,
2021-05-04 12:36:53Z,Howard Vale,4,439,355,,
2019-02-10 22:30:30Z,Balfour    Vale,163,315,1225,,
2013-03-30 12:15:47Z,Oxford Pass,1313,1688,179,,
2022-01-03 00:23:15Z,Linda Lane Pass,816,1228,1072,,
2019-03-06 15:00:05Z,Adams  Way,1799,129,1862,,
2017-02-18 02:47:42Z,Thomas  Route,973,342,1263,,
2015-03-25 01:30:52Z,Virginia Street,168,157,396,,
2020-01-31 09:57:46Z,Railroad Vale,1175,751,961,,
2017-10-15 03:29:36Z,Kimberley  Drive,1572,215,1482,,
2013-09-30 04:02:58Z,Cephas  Crossroad,188,12,1080,,
2010-03-26 18:25:48Z,Linda Lane Drive,871,248,1266,,
2022-07-02 17:00:38Z,Arctic   Way,1861,1774,25,,
2011-08-25 17:10:32Z,Arlington  Vale,912,1591,1748,,
2011-12-28 18:38:07Z,Marina  Alley,1209,1140,1133,,
2010-09-12 18:08:32Z,Biggerstaff   Walk,680,1649,701,,
2019-08-12 14:04:26Z,Ellerslie Lane,1650,1934,460,,
2014-09-26 10:41:16Z,Bury  Street,157,565,677,,
2022-10-23 19:03:53Z,Blore  Hill,70,1754,209,,
2021-03-12 13:34:23Z,Hamilton  Tunnel,1585,1433,327,,
2020-06-03 16:42:44Z,Beaumont  Pass,1732,480,194,,
2021-04-11 17:24:55Z,St. Pauls  Lane,873,709,1990,,
2013-10-15 19:34:30Z,Rivervalley Street,1583,1927,786,,
2018-05-24 22:15:24Z,Bolton  Way,97,553,1147,,
2017-12-18 05:30:19Z,Howard Walk,930,334,215,,
2018-11-09 21:05:39Z,Becher  Crossroad,582,1002,1765,,
2017-08-02 06:17:32Z,Boleyn  Boulevard,676,441,553,,
2020-10-09 10:16:45Z,Queen Street,671,1647,241,,
2016-02-23 22:46:45Z,Heritage Tunnel,152,221,84,,
2013-10-23 22:58:24Z,Berriman  Drive,1522,930,1969,,
2013-07-20 01:16:10Z,King Walk,1071,1272,1424,,
2020-10-07 20:01:53Z,Collins  Vale,1460,1635,1075,,
2011-02-22 18:14:03Z,Vintners  Crossroad,603,90,500,,
2013-08-08 09:19:17Z,Jackson Grove,426,125,1507,,
2020-12-29 06:57:57Z,Baylis  Route,1060,495,417,,
2010-02-21 08:37:50Z,Chesterfield  Boulevard,905,1346,1298,,
2019-08-07 04:35:25Z,Durweston   Drive,1138,517,450,,
2014-12-07 12:52:35Z,Chesterfield  Tunnel,774,1768,1048,,
2017-05-03 02:34:49Z,Clyde Street,1282,581,1307,,
2018-01-22 09:42:01Z,Chart   Boulevard,1554,949,1693,,
2011-12-17 09:24:01Z,Coalecroft  Drive,369,301,1415,,
2014-03-20 09:41:20Z,Wager   Walk,1560,1775,1121,,
2010-11-08 20:40:22Z,Cephas  Hill,583,1898,1680,,
2016-07-08 08:41:31Z,Waldram Park  Street,863,472,926,,
2011-05-28 12:41:35Z,Mariner  Route,1024,634,1768,,
2022-05-16 06:55:54Z,Thomas More   Drive,1570,1423,1147,,
2012-01-29 17:37:48Z,Thrale   Grove,267,1365,1598,,
2010-01-22 18:34:28Z,Ben   Tunnel,681,1344,703,,
2021-02-04 10:14:18Z,Bennett  Grove,1406,679,1362,,
2021-08-15 13:06:44Z,Ely  Alley,1282,543,936,,
2020-09-22 06:47:14Z,Lake Drive,1157,1015,1062,,
2013-12-24 10:20:41Z,Dyott   Hill,1194,1862,512,,
2014-03-24 19:52:10Z,St. Jamess  Route,1552,479,202,,
2019-01-17 05:01:27Z,Amwell    Rue,1535,1031,786,,
2017-03-03 13:57:16Z,Collent   Route,1870,794,1750,,
2014-04-30 04:00:31Z,Oxford Walk,1720,632,843,,
2017-06-04 15:09:23Z,St. Pauls  Tunnel,1739,1764,515,,
2016-06-26 19:36:41Z,Lincoln Alley,366,92,655,,
2013-08-07 01:07:31Z,Belmont Park Pass,1043,886,111,,
2011-04-15 03:05:12Z,Dunton  Hill,455,393,1722,,
2013-02-11 03:07:43Z,Rivervalley Crossroad,212,873,1105,,
2013-05-06 14:14:55Z,Duthie   Alley,990,1167,537,,
2013-12-07 00:24:25Z,Chantry   Road,365,1541,1428,,
2012-02-20 06:14:05Z,Wager   Pass,406,1886,1793,,
2012-07-24 12:37:15Z,Camelot   Walk,353,529,1617,,
2020-07-31 03:48:57Z,Cliffords  Road,524,1850,318,,
2015-10-04 18:15:05Z,Comet House  Way,270,1882,295,,
2014-01-12 03:09:29Z,Clissold  Route,430,596,96,,
2018-03-04 00:35:36Z,Thomas More   Way,444,736,1219,,
2021-07-29 04:33:13Z,Caslon   Hill,1174,1520,256,,
2018-03-06 02:57:00Z,Queensberry  Avenue,1305,1732,190,,
2018-05-24 07:25:24Z,Sheraton   Grove,1941,1267,1785,,
2017-02-20 18:33:38Z,Durweston   Street,56,489,1516,,
2017-06-12 01:20:36Z,Eldon  Drive,548,1171,400,,
2010-12-06 14:52:07Z,Bliss  Route,1045,1152,99,,
2012-05-20 10:24:09Z,Baltic  Street,1307,76,1871,,
2017-04-16 22:13:46Z,Elia   Lane,1457,160,1560,,
2019-10-03 00:24:26Z,Coal Wharf  Street,434,1798,15,,
2022-12-07 09:50:10Z,Bell    Boulevard,284,1689,1550,,
2014-06-11 09:49:08Z,Church Crossroad,79,1426,1214,,
2022-09-24 06:38:00Z,Walnut Lane,1203,1544,1095,,
2018-04-17 16:18:13Z,Aberavon  Route,370,1317,1223,,
2011-01-05 08:50:54Z,Cobden  Vale,231,773,1328,,
2022-04-24 13:03:31Z,Jackson Grove,1148,475,1226,,
2014-08-11 22:01:57Z,Hammersmith  Route,1507,1008,225,,
2015-11-25 02:28:28Z,Bliss  Boulevard,517,1922,675,,
2019-10-31 01:37:30Z,Queen Road,446,1309,347,,
2016-04-05 02:18:52Z,Shepherds  Rue,1482,1660,1340,,
2017-07-13 02:46:29Z,Linden Vale,35,1323,561,,
2012-06-12 10:37:44Z,Cleaver Grove,195,1634,356,,
2022-08-10 19:05:01Z,Cave   Lane,366,544,815,,
2020-04-17 13:26:45Z,Thrale   Vale,1269,1358,1709,,
2017-02-02 06:52:29Z,Rosewood Street,1455,70,373,,
2017-01-18 16:48:51Z,Carol   Crossroad,1050,1542,1996,,
2017-06-12 12:21:50Z,Bloomsbury  Lane,1463,451,189,,
2020-11-11 09:43:29Z,Bell    Way,1193,1104,1111,,
2013-09-08 10:19:51Z,Linden Pass,1485,1281,1103,,
2017-09-17 21:45:35Z,Thomas More   Drive,277,124,247,,
2016-06-13 15:56:00Z,Tiptree   Tunnel,271,1783,1238,,
2015-12-02 01:35:12Z,Badric  Tunnel,578,483,611,,
2018-09-24 16:15:38Z,Aylward   Rue,685,277,606,,
2014-02-09 05:09:45Z,Belgrave  Alley,961,201,1738,,
2017-11-13 06:40:02Z,Collent   Route,190,575,1185,,
2022-06-11 08:38:31Z,Bloomsbury  Road,1322,934,713,,
2021-03-27 19:33:16Z,Cardinal Way,1954,1639,1312,,
2015-11-17 15:40:31Z,Aspen Vale,736,1367,1915,,
2017-12-11 14:57:50Z,Sheffield Crossroad,158,770,1510,,
2018-06-28 17:54:09Z,Sherlock   Lane,1416,1232,497,,
2013-12-28 07:36:03Z,Bolingbroke  Lane,1497,1285,1194,,
2021-09-16 09:38:28Z,Sheffield Way,99,100,1683,,
2014-12-25 00:17:43Z,Camberwell  Tunnel,1756,648,89,,
2019-07-04 06:34:47Z,Chancellor  Alley,1849,122,714,,
2014-04-29 12:32:03Z,Enderby   Lane,472,356,1914,,
2011-04-29 04:35:17Z,Arlington  Road,95,650,1211,,
2022-04-19 13:07:20Z,Coley  Pass,1737,35,701,,
2010-02-17 02:35:31Z,Bellenden  Alley,541,1433,998,,
2013-09-22 07:53:23Z,Victoria Rise Road,633,1553,296,,
2015-09-29 09:10:31Z,Commercial  Avenue,1017,1957,967,,
2012-12-28 22:21:47Z,Balham   Alley,1114,452,160,,
2014-07-23 12:36:28Z,Dutton   Route,1110,1521,5,,
2019-02-09 12:04:06Z,Cedarne  Route,1196,853,1166,,
2012-03-13 10:20:06Z,Adams  Hill,1256,81,1471,,
2011-09-10 10:07:48Z,Howard Tunnel,1883,1931,428,,
2016-10-19 21:24:46Z,Thomas  Drive,989,1615,854,,
2015-03-14 02:55:56Z,Clavell   Walk,1010,776,1497,,
2019-07-31 05:31:03Z,Mariner   Drive,1317,850,568,,
2021-04-27 20:42:48Z,Yorkshire  Alley,384,150,951,,
2012-04-14 08:29:20Z,Geary   Street,293,457,1830,,
2020-04-11 03:15:21Z,Bloomsbury  Grove,1039,410,1450,,
2018-11-13 10:05:24Z,Bell    Hill,1422,1247,1847,,
2019-04-10 13:56:51Z,Berry  Vale,580,658,12,,
2013-03-29 08:36:18Z,Fairholt   Way,143,1735,516,,
2010-03-28 11:33:15Z,Zealand Drive,690,1019,1206,,
2015-01-09 17:14:55Z,Cadogan  Drive,600,866,1288,,
2022-05-22 21:23:07Z,Pine Drive,888,541,1632,,
2011-04-23 08:33:26Z,Gate   Tunnel,590,1385,237,,
2014-07-25 10:17:00Z,Bellenden   Tunnel,1068,1806,1148,,
2019-10-09 06:44:37Z,Linda Lane Avenue,1979,237,1904,,
2021-03-17 20:25:34Z,Pine Road,285,489,272,,
2010-06-20 21:23:58Z,Liverpool  Drive,1748,1897,1967,,
2014-08-18 21:22:07Z,Caroline  Vale,817,1385,1934,,
2010-11-02 10:21:05Z,Abbotswell  Street,617,866,1606,,
2018-12-20 17:37:15Z,Tisbury  Tunnel,252,996,1943,,
2012-03-12 17:38:47Z,Balfour    Alley,977,1267,338,,
2017-05-11 16:17:15Z,Waite  Vale,118,156,1551,,
2020-01-07 21:27:10Z,Castlereagh   Street,283,368,375,,
2014-08-11 02:05:05Z,Linda Lane Alley,403,479,1868,,
2014-02-03 05:41:17Z,Bacon  Crossroad,126,1484,1408,,
2016-08-09 09:34:29Z,Parkfields Walk,1020,711,1114,,
2016-07-28 22:04:25Z,Victoria  Hill,1745,268,1080,,
2011-01-15 10:42:11Z,Coborn  Drive,387,1488,1641,,
2010-11-06 10:19:37Z,Arlington  Drive,1028,1267,1499,,
2017-11-24 19:52:18Z,Ampton  Rue,1080,1391,490,,
2021-03-14 20:34:08Z,Elgood   Avenue,584,1965,553,,
2022-10-13 07:22:37Z,Beaumont  Grove,1924,889,1779,,
2012-11-22 20:52:07Z,Littlebury  Road,1649,530,561,,
2018-06-11 17:51:04Z,Cardinal Route,1394,664,1726,,
2012-12-22 21:01:50Z,Collins  Vale,1333,1061,646,,
2014-10-17 22:32:25Z,Virgil   Vale,1526,635,1648,,
2014-09-13 16:56:33Z,Bloomsbury  Vale,385,1285,416,,
2015-03-19 21:38:01Z,Aberavon  Drive,1193,1467,1032,,
2021-02-16 08:31:44Z,Norland  Route,1418,911,590,,
2019-07-24 05:25:43Z,Underwood  Boulevard,1068,672,1200,,
2021-09-21 15:36:51Z,Beatty  Rue,1842,532,1231,,
2018-09-19 07:01:33Z,Woodland Way,1260,1813,1912,,
2013-10-31 13:15:33Z,College  Crossroad,1744,914,847,,
2020-02-04 15:36:18Z,Bayberry Way,753,1389,128,,
2021-09-09 22:40:48Z,Woodland Street,1547,78,219,,
2013-06-15 03:22:48Z,Egerton  Route,768,479,1457,,
2014-04-19 07:48:44Z,Chambers  Street,553,289,1188,,
2010-01-26 08:50:25Z,Balham   Vale,1091,1461,1833,,
2013-06-09 10:45:04Z,Black Swan  Walk,1494,1213,581,,
2010-07-01 21:33:12Z,Cingworth  Tunnel,1752,92,729,,
2013-03-07 03:58:28Z,Bellenden  Rue,1205,1536,1360,,
2013-04-07 19:57:14Z,Ashley Route,963,240,1548,,
2022-05-28 05:31:00Z,Canon Route,1844,477,380,,
2010-04-14 18:25:35Z,St. Johs  Vale,1550,602,1183,,
2021-12-14 18:53:05Z,Fairfield  Road,263,992,1531,,633
2020-04-20 15:12:43Z,Cecilia  Avenue,1843,1575,1664,,474
2011-08-25 14:32:18Z,Vine  Hill,1950,499,1284,,585
2020-10-01 10:57:45Z,Parkgate  Boulevard,1724,1737,1577,,1005
2021-05-21 11:36:35Z,Bocking   Avenue,1635,126,1244,,269
2018-02-23 08:55:03Z,Abbotswell  Boulevard,457,1194,1173,,1777
2010-09-17 20:50:27Z,Bayberry Boulevard,1407,854,337,,948
2017-12-17 01:58:19Z,Bury  Way,1977,1902,1739,,1974
2019-12-01 20:37:29Z,Victoria  Grove,1055,1822,625,,505
2011-05-19 06:16:53Z,Queen Caroline   Drive,1326,297,234,,247
2020-07-02 08:52:08Z,English   Hill,721,1226,1406,,1710
2014-03-03 06:42:35Z,St. Jamess  Vale,510,692,1614,,43
2020-04-30 18:06:54Z,Chapel  Boulevard,1542,198,1764,,734
2022-04-21 19:49:44Z,Elizabeth  Route,36,958,1970,,185
2011-05-25 21:12:26Z,Thoresby   Crossroad,1075,1365,1548,,611
2019-08-12 07:20:05Z,Calshot   Road,554,1956,1561,,350
2020-06-08 06:43:19Z,Eldon  Avenue,886,1962,840,,1508
2011-08-14 17:21:42Z,Ellerman   Crossroad,1168,1313,1967,,1078
2020-07-10 02:19:34Z,Under  Way,999,1478,835,,328
2011-03-28 00:41:47Z,Chelsea Manor  Crossroad,367,1743,1098,,904
2015-01-08 12:15:01Z,Waite  Drive,1912,1252,362,,897
2015-08-11 14:58:14Z,Apothecary   Pass,1874,309,1418,,558
2022-09-29 16:33:15Z,Cardinal Alley,156,1100,852,,138
2019-01-22 16:06:31Z,Chamberlain  Tunnel,1650,609,791,,1327
2018-09-30 20:32:57Z,Collent   Avenue,91,913,891,,1149
2021-10-22 00:09:15Z,Wager   Rue,1985,14,723,,193
2021-07-07 09:11:06Z,Battis   Pass,1025,925,179,,224
2021-07-23 14:44:02Z,Bacon  Alley,291,1189,1047,,367
2010-07-08 14:06:50Z,Garfield Rue,1098,1675,122,,940
2013-05-21 18:55:17Z,Bermondsey    Tunnel,1347,891,436,,27
2022-07-08 13:21:19Z,Castlereagh   Tunnel,540,236,1328,,729
2016-12-24 09:28:10Z,Bishop   Tunnel,604,697,1904,,167
2012-03-18 15:23:36Z,College  Alley,1378,919,535,,679
2015-08-20 16:22:30Z,Chestnut Rise Grove,509,1542,332,,1768
2015-03-07 09:10:41Z,Cliff  Crossroad,671,1530,486,,1027
2022-07-18 07:29:07Z,Armory  Tunnel,363,1496,964,,1229
2017-08-18 18:50:19Z,Thoresby   Crossroad,44,1945,1915,,1199
2010-02-19 12:10:04Z,Castlereagh   Pass,1003,1409,1372,,1979
2019-07-22 21:12:44Z,Adelaide  Alley,413,484,1335,,1864
2013-07-31 11:17:32Z,Linden Way,1161,1696,1531,,192
2020-12-01 08:47:37Z,Parkfield  Grove,285,850,899,,209
2020-03-22 10:03:29Z,Wadham  Rue,1186,194,1901,,1645
2018-03-14 17:17:01Z,Kingly  Avenue,482,1262,1543,,194
2012-01-22 15:55:34Z,Camley   Route,232,1148,502,,1879
2022-07-22 17:46:33Z,Coal Wharf  Walk,888,1595,1343,,1267
2022-12-08 11:52:55Z,Abbotswell  Alley,116,1565,638,,1997
2012-07-09 11:38:20Z,Sherwood  Vale,1076,944,685,,1015
2017-02-11 00:49:00Z,South Crossroad,1974,1483,1758,,1051
2010-10-15 10:56:08Z,Railroad Rue,1513,1991,251,,180
2014-01-31 07:15:14Z,Fawn Grove,256,879,1235,,26
2013-05-23 22:26:09Z,Battersea   Drive,1275,1771,174,,1232
2010-12-11 07:53:46Z,Bective  Pass,1103,1031,504,,543
2014-11-23 12:20:14Z,Balham   Street,1527,1187,532,,804
2019-05-17 12:07:51Z,Belmore  Alley,1976,1590,104,,250
2010-06-24 20:53:30Z,Jackson Drive,860,923,628,,1990
2021-09-27 14:11:20Z,Cadogan  Pass,1250,406,1942,,1744
2012-10-05 01:36:40Z,Gathorne   Avenue,384,74,1058,,1699
2019-11-28 17:27:07Z,Canon Avenue,1266,1675,471,,391
2020-03-10 06:16:15Z,Vine  Alley,720,1556,460,,1091
2016-01-11 18:48:10Z,Ensign   Drive,501,449,1229,,985
2020-06-23 09:55:27Z,Baylis  Vale,297,123,223,,262
2011-02-11 18:57:45Z,Cavaye  Lane,1529,699,372,,1571
2012-02-22 09:47:58Z,Camdenhurst   Drive,1864,569,429,,484
2013-04-26 09:13:43Z,West Route,740,1630,76,,704
2022-06-27 06:39:05Z,Thurloe   Rue,1636,98,183,,5
2012-12-18 20:02:48Z,Cato   Route,1173,1897,158,,513
2012-10-16 19:49:51Z,Blandford  Rue,1128,449,773,,1395
2017-01-09 21:18:49Z,Bacton   Crossroad,1493,1415,1047,,1418
2012-01-23 20:11:12Z,Canon Route,741,788,831,,1993
2020-06-14 09:43:46Z,Carlisle  Alley,904,1594,448,,1567
2011-06-19 13:39:23Z,Norland  Tunnel,1180,408,8,,924
2018-05-25 20:25:21Z,Egerton  Boulevard,1342,1269,1711,,1043
2013-12-23 03:47:22Z,Queen Vale,427,1059,1394,,1456
2015-05-18 21:28:43Z,Caroline  Hill,443,1597,1500,,1471
2019-12-06 03:23:56Z,Bel   Lane,1991,733,1368,,1612
2015-07-16 18:55:41Z,Lake Drive,1569,545,1002,,685
2010-11-04 01:29:16Z,Endsleigh  Rue,791,1370,1546,,1066
2011-06-06 20:52:07Z,Balfour    Vale,1559,1711,79,,1936
2011-08-11 19:49:52Z,East Way,15,1562,526,,1308
2020-02-19 21:17:24Z,Bendall   Rue,1319,229,1811,,1307
2016-11-19 07:34:08Z,Longman   Hill,1866,1643,1889,,676
2012-02-12 21:13:31Z,Chestnut Rise Street,430,1231,1947,,904
2018-12-17 14:24:07Z,Ely  Vale,1148,953,899,,109
2016-03-28 15:56:22Z,Monroe Walk,509,1389,390,,1496
2018-08-13 04:49:54Z,Bolton  Crossroad,1432,1529,379,,906
2016-05-09 01:08:26Z,Becher  Lane,1776,948,795,,1071
2022-09-25 10:21:52Z,Billing  Avenue,1958,1695,190,,811
2022-07-10 11:24:13Z,Carol   Avenue,1556,995,1256,,1805
2015-10-12 18:16:58Z,Charterhouse  Grove,1049,993,842,,1046
2022-01-10 17:17:38Z,Camden  Street,1626,1890,135,,1987
2021-04-28 19:39:46Z,Bayberry Drive,1246,1830,1329,,922
2011-10-12 08:49:29Z,Eaglet  Vale,340,753,651,,843
2022-08-24 11:25:33Z,Beechen  Street,446,1522,914,,1166
2018-12-21 19:25:37Z,Adams  Hill,279,1006,1012,,1193
2020-07-26 14:49:56Z,Chalcot  Hill,1869,1605,1138,,1196
2010-06-21 10:36:38Z,Maple Route,883,198,608,,614
2019-09-13 19:27:04Z,Berry  Boulevard,1920,424,926,,1029
2010-05-28 15:51:43Z,Caldwell   Route,1303,934,371,,1890
2013-03-25 09:11:50Z,St. Johs  Tunnel,427,1569,1226,,1286
2011-10-03 00:11:11Z,College  Drive,302,1499,379,,165
2017-06-20 16:20:03Z,Queen Route,1133,1781,74,1314,1474
2022-09-01 21:21:03Z,Cato   Rue,1199,1070,1034,182,351
2017-10-11 18:22:58Z,Vintners  Rue,1757,1316,427,1803,555
2011-05-03 08:31:04Z,Carlisle  Tunnel,356,1373,645,1496,1912
2021-10-11 03:07:49Z,Black Friars   Avenue,562,1102,430,1344,1983
2015-03-12 02:30:39Z,Clifton  Lane,1791,24,758,888,1670
2019-01-23 18:58:31Z,Blenkarne  Hill,616,715,1660,1536,854
